,property.type,property.bedroomCount,property.location.postalCode,extractDate,count_id,sum_value
202,HOUSE,4.0,1020,2023-12-05 15:55:52.855004,42,22421000.0
203,HOUSE,4.0,1030,2023-12-05 15:55:52.855004,54,28447000.0
204,HOUSE,4.0,1040,2023-12-05 15:55:52.855004,19,18177000.0
205,HOUSE,4.0,1050,2023-12-05 15:55:52.855004,50,50310498.0
206,HOUSE,4.0,1060,2023-12-05 15:55:52.855004,12,9819000.0
207,HOUSE,4.0,1070,2023-12-05 15:55:52.855004,55,25176800.0
208,HOUSE,4.0,1080,2023-12-05 15:55:52.855004,20,7949000.0
209,HOUSE,4.0,1081,2023-12-05 15:55:52.855004,4,1794000.0
210,HOUSE,4.0,1082,2023-12-05 15:55:52.855004,11,6071000.0
211,HOUSE,4.0,1083,2023-12-05 15:55:52.855004,7,3803000.0
212,HOUSE,4.0,1090,2023-12-05 15:55:52.855004,21,10302000.0
213,HOUSE,4.0,1120,2023-12-05 15:55:52.855004,3,1554000.0
214,HOUSE,4.0,1130,2023-12-05 15:55:52.855004,19,11666000.0
215,HOUSE,4.0,1140,2023-12-05 15:55:52.855004,24,11875850.0
216,HOUSE,4.0,1150,2023-12-05 15:55:52.855004,40,34085000.0
217,HOUSE,4.0,1160,2023-12-05 15:55:52.855004,27,17506000.0
218,HOUSE,4.0,1170,2023-12-05 15:55:52.855004,18,15638000.0
219,HOUSE,4.0,1180,2023-12-05 15:55:52.855004,93,101371000.0
220,HOUSE,4.0,1190,2023-12-05 15:55:52.855004,26,15858000.0
221,HOUSE,4.0,1200,2023-12-05 15:55:52.855004,33,26125000.0
222,HOUSE,4.0,1210,2023-12-05 15:55:52.855004,9,4243000.0
223,HOUSE,5.0,1000,2023-12-05 15:55:52.855004,38,44012500.0
224,HOUSE,5.0,1020,2023-12-05 15:55:52.855004,19,10675000.0
225,HOUSE,5.0,1030,2023-12-05 15:55:52.855004,46,30205000.0
226,HOUSE,5.0,1040,2023-12-05 15:55:52.855004,20,26523000.0
227,HOUSE,5.0,1050,2023-12-05 15:55:52.855004,63,97627000.0
228,HOUSE,5.0,1060,2023-12-05 15:55:52.855004,15,10589000.0
229,HOUSE,5.0,1070,2023-12-05 15:55:52.855004,43,23852999.0
230,HOUSE,5.0,1080,2023-12-05 15:55:52.855004,25,12971400.0
231,HOUSE,5.0,1081,2023-12-05 15:55:52.855004,3,2084000.0
232,HOUSE,5.0,1082,2023-12-05 15:55:52.855004,12,6409000.0
233,HOUSE,5.0,1083,2023-12-05 15:55:52.855004,5,4369000.0
234,HOUSE,5.0,1090,2023-12-05 15:55:52.855004,17,10242990.0
235,HOUSE,5.0,1120,2023-12-05 15:55:52.855004,2,948000.0
236,HOUSE,5.0,1130,2023-12-05 15:55:52.855004,3,1462000.0
237,HOUSE,5.0,1140,2023-12-05 15:55:52.855004,6,3462000.0
238,HOUSE,5.0,1150,2023-12-05 15:55:52.855004,29,35455000.0
239,HOUSE,5.0,1160,2023-12-05 15:55:52.855004,10,9568000.0
240,HOUSE,5.0,1170,2023-12-05 15:55:52.855004,11,12964000.0
241,HOUSE,5.0,1180,2023-12-05 15:55:52.855004,60,93395000.0
242,HOUSE,5.0,1190,2023-12-05 15:55:52.855004,13,14488000.0
243,HOUSE,5.0,1200,2023-12-05 15:55:52.855004,13,12148000.0
244,HOUSE,5.0,1210,2023-12-05 15:55:52.855004,2,1300000.0
245,HOUSE,6.0,1000,2023-12-05 15:55:52.855004,20,18906000.0
246,HOUSE,6.0,1020,2023-12-05 15:55:52.855004,16,11210000.0
247,HOUSE,6.0,1030,2023-12-05 15:55:52.855004,38,29109000.0
248,HOUSE,6.0,1040,2023-12-05 15:55:52.855004,12,12579000.0
249,HOUSE,6.0,1050,2023-12-05 15:55:52.855004,34,67532000.0
250,HOUSE,6.0,1060,2023-12-05 15:55:52.855004,29,20542000.0
251,HOUSE,6.0,1070,2023-12-05 15:55:52.855004,19,11469900.0
252,HOUSE,6.0,1080,2023-12-05 15:55:52.855004,15,9140000.0
253,HOUSE,6.0,1081,2023-12-05 15:55:52.855004,2,744000.0
254,HOUSE,6.0,1082,2023-12-05 15:55:52.855004,5,2893000.0
255,HOUSE,6.0,1083,2023-12-05 15:55:52.855004,1,695000.0
256,HOUSE,6.0,1090,2023-12-05 15:55:52.855004,9,6958000.0
257,HOUSE,6.0,1120,2023-12-05 15:55:52.855004,2,1750000.0
258,HOUSE,6.0,1140,2023-12-05 15:55:52.855004,3,1765000.0
259,HOUSE,6.0,1150,2023-12-05 15:55:52.855004,15,21333000.0
260,HOUSE,6.0,1160,2023-12-05 15:55:52.855004,3,2590000.0
261,HOUSE,6.0,1170,2023-12-05 15:55:52.855004,5,5604000.0
262,HOUSE,6.0,1180,2023-12-05 15:55:52.855004,52,124034000.0
263,HOUSE,6.0,1190,2023-12-05 15:55:52.855004,8,12092000.0
264,HOUSE,6.0,1200,2023-12-05 15:55:52.855004,10,9940000.0
265,HOUSE,6.0,1210,2023-12-05 15:55:52.855004,10,8307500.0
266,HOUSE,7.0,1000,2023-12-05 15:55:52.855004,8,8665000.0
267,HOUSE,7.0,1020,2023-12-05 15:55:52.855004,12,8476000.0
268,HOUSE,7.0,1030,2023-12-05 15:55:52.855004,8,5092000.0
269,HOUSE,7.0,1040,2023-12-05 15:55:52.855004,3,4949000.0
270,HOUSE,7.0,1050,2023-12-05 15:55:52.855004,8,9957000.0
271,HOUSE,7.0,1060,2023-12-05 15:55:52.855004,3,3665000.0
272,HOUSE,7.0,1070,2023-12-05 15:55:52.855004,12,9493997.0
273,HOUSE,7.0,1080,2023-12-05 15:55:52.855004,6,3344000.0
274,HOUSE,7.0,1083,2023-12-05 15:55:52.855004,1,835000.0
275,HOUSE,7.0,1090,2023-12-05 15:55:52.855004,3,2094000.0
276,HOUSE,7.0,1120,2023-12-05 15:55:52.855004,1,775000.0
277,HOUSE,7.0,1140,2023-12-05 15:55:52.855004,1,715000.0
278,HOUSE,7.0,1150,2023-12-05 15:55:52.855004,11,28741000.0
279,HOUSE,7.0,1180,2023-12-05 15:55:52.855004,4,6335000.0
280,HOUSE,7.0,1190,2023-12-05 15:55:52.855004,5,19114000.0
281,HOUSE,7.0,1200,2023-12-05 15:55:52.855004,1,745000.0
282,HOUSE,7.0,1210,2023-12-05 15:55:52.855004,4,2823400.0
283,HOUSE,8.0,1000,2023-12-05 15:55:52.855004,14,15419000.0
284,HOUSE,8.0,1020,2023-12-05 15:55:52.855004,2,2329000.0
285,HOUSE,8.0,1030,2023-12-05 15:55:52.855004,3,4065000.0
286,HOUSE,8.0,1040,2023-12-05 15:55:52.855004,4,3230000.0
287,HOUSE,8.0,1050,2023-12-05 15:55:52.855004,11,16194000.0
